date;class;focuses;uf
2025/01;Fogo em áreas de desmatamento consolidado;20;SERGIPE
2025/01;Fogo em áreas de desmatamento recente;5;SERGIPE
2025/02;Fogo em áreas de desmatamento consolidado;9;SERGIPE
2025/02;Fogo em áreas de desmatamento recente;1;SERGIPE
2025/02;Fogo em áreas de vegetação nativa;1;SERGIPE
2025/03;Fogo em áreas de desmatamento consolidado;15;SERGIPE
2025/03;Fogo em áreas de desmatamento recente;7;SERGIPE
2025/04;Fogo em áreas de desmatamento consolidado;7;SERGIPE
2025/04;Fogo em áreas de desmatamento recente;4;SERGIPE
2025/05;Fogo em áreas de desmatamento consolidado;2;SERGIPE
2024/07;Fogo em áreas de desmatamento consolidado;1;SERGIPE
2024/08;Fogo em áreas de desmatamento consolidado;7;SERGIPE
2024/10;Fogo em áreas de desmatamento consolidado;4;SERGIPE
2024/11;Fogo em áreas de desmatamento consolidado;16;SERGIPE
2024/12;Fogo em áreas de desmatamento consolidado;15;SERGIPE
2024/12;Fogo em áreas de desmatamento recente;3;SERGIPE
2024/12;Fogo em áreas de vegetação nativa;1;SERGIPE
2025/01;Fogo em áreas de desmatamento recente;9;RIO GRANDE DO NORTE
2024/08;Fogo em áreas de desmatamento consolidado;16;RIO GRANDE DO NORTE
2024/07;Fogo em áreas de vegetação nativa;5;RIO GRANDE DO NORTE
2024/07;Fogo em áreas de desmatamento recente;5;RIO GRANDE DO NORTE
2025/05;Fogo em áreas de desmatamento consolidado;9;RIO GRANDE DO NORTE
2024/07;Fogo em áreas de desmatamento consolidado;8;RIO GRANDE DO NORTE
2025/03;Fogo em áreas de desmatamento recente;4;RIO GRANDE DO NORTE
2024/12;Fogo em áreas de vegetação nativa;11;RIO GRANDE DO NORTE
2024/06;Fogo em áreas de desmatamento consolidado;1;RIO GRANDE DO NORTE
2025/04;Fogo em áreas de desmatamento recente;12;RIO GRANDE DO NORTE
2025/03;Fogo em áreas de desmatamento consolidado;8;RIO GRANDE DO NORTE
2024/12;Fogo em áreas de desmatamento recente;56;RIO GRANDE DO NORTE
2024/12;Fogo em áreas de desmatamento consolidado;89;RIO GRANDE DO NORTE
2025/02;Fogo em áreas de desmatamento consolidado;10;RIO GRANDE DO NORTE
2024/11;Fogo em áreas de vegetação nativa;15;RIO GRANDE DO NORTE
2025/01;Fogo em áreas de vegetação nativa;1;RIO GRANDE DO NORTE
2024/11;Fogo em áreas de desmatamento recente;58;RIO GRANDE DO NORTE
2024/08;Fogo em áreas de desmatamento recente;8;RIO GRANDE DO NORTE
