date;class;focuses;uf
2025/01;Fogo em áreas de desmatamento consolidado;8;TOCANTINS
2025/01;Fogo em áreas de desmatamento recente;8;TOCANTINS
2025/02;Fogo em áreas de desmatamento consolidado;28;TOCANTINS
2025/02;Fogo em áreas de desmatamento recente;24;TOCANTINS
2025/02;Fogo em áreas de vegetação nativa;21;TOCANTINS
2025/03;Fogo em áreas de desmatamento consolidado;51;TOCANTINS
2025/03;Fogo em áreas de desmatamento recente;45;TOCANTINS
2025/03;Fogo em áreas de vegetação nativa;14;TOCANTINS
2025/04;Fogo em áreas de desmatamento consolidado;53;TOCANTINS
2025/04;Fogo em áreas de desmatamento recente;45;TOCANTINS
2025/04;Fogo em áreas de vegetação nativa;18;TOCANTINS
2025/05;Fogo em áreas de desmatamento consolidado;399;TOCANTINS
2025/05;Fogo em áreas de desmatamento recente;415;TOCANTINS
2025/05;Fogo em áreas de vegetação nativa;232;TOCANTINS
2025/06;Fogo em áreas de desmatamento consolidado;153;TOCANTINS
2025/06;Fogo em áreas de desmatamento recente;229;TOCANTINS
2025/06;Fogo em áreas de vegetação nativa;212;TOCANTINS
2024/06;Fogo em áreas de desmatamento consolidado;330;TOCANTINS
2024/06;Fogo em áreas de desmatamento recente;544;TOCANTINS
2024/06;Fogo em outras áreas;5;TOCANTINS
2024/06;Fogo em áreas de vegetação nativa;862;TOCANTINS
2024/07;Fogo em áreas de desmatamento consolidado;340;TOCANTINS
2024/07;Fogo em áreas de desmatamento recente;427;TOCANTINS
2024/07;Fogo em outras áreas;6;TOCANTINS
2024/07;Fogo em áreas de vegetação nativa;1099;TOCANTINS
2024/08;Fogo em áreas de desmatamento consolidado;670;TOCANTINS
2024/08;Fogo em áreas de desmatamento recente;389;TOCANTINS
2024/08;Fogo em outras áreas;15;TOCANTINS
2024/08;Fogo em áreas de vegetação nativa;1708;TOCANTINS
2024/09;Fogo em áreas de desmatamento recente;827;TOCANTINS
2024/09;Fogo em outras áreas;46;TOCANTINS
2024/09;Fogo em áreas de vegetação nativa;3893;TOCANTINS
2024/10;Fogo em áreas de desmatamento consolidado;472;TOCANTINS
