date;class;focuses;uf
2025/01;Fogo em áreas de desmatamento consolidado;31;RIO GRANDE DO SUL
2024/12;Fogo em áreas de vegetação nativa;1;RIO GRANDE DO SUL
2024/12;Fogo em áreas de desmatamento consolidado;12;RIO GRANDE DO SUL
2024/11;Fogo em áreas de vegetação nativa;1;RIO GRANDE DO SUL
2024/11;Fogo em áreas de desmatamento recente;2;RIO GRANDE DO SUL
2024/11;Fogo em áreas de desmatamento consolidado;10;RIO GRANDE DO SUL
2024/10;Fogo em áreas de vegetação nativa;3;RIO GRANDE DO SUL
2024/10;Fogo em áreas de desmatamento recente;6;RIO GRANDE DO SUL
2024/10;Fogo em áreas de desmatamento consolidado;25;RIO GRANDE DO SUL
2024/09;Fogo em áreas de vegetação nativa;13;RIO GRANDE DO SUL
2024/09;Fogo em áreas de desmatamento recente;7;RIO GRANDE DO SUL
2024/09;Fogo em áreas de desmatamento consolidado;36;RIO GRANDE DO SUL
2024/08;Fogo em áreas de vegetação nativa;7;RIO GRANDE DO SUL
2024/08;Fogo em áreas de desmatamento recente;18;RIO GRANDE DO SUL
2024/08;Fogo em áreas de desmatamento consolidado;73;RIO GRANDE DO SUL
2024/07;Fogo em áreas de vegetação nativa;3;RIO GRANDE DO SUL
2024/07;Fogo em áreas de desmatamento recente;15;RIO GRANDE DO SUL
2024/07;Fogo em áreas de desmatamento consolidado;62;RIO GRANDE DO SUL
2024/06;Fogo em áreas de desmatamento recente;3;RIO GRANDE DO SUL
2024/06;Fogo em áreas de desmatamento consolidado;25;RIO GRANDE DO SUL
2025/06;Fogo em áreas de vegetação nativa;1;RIO GRANDE DO SUL
2025/06;Fogo em áreas de desmatamento recente;1;RIO GRANDE DO SUL
2025/06;Fogo em áreas de desmatamento consolidado;10;RIO GRANDE DO SUL
2025/05;Fogo em áreas de vegetação nativa;1;RIO GRANDE DO SUL
2025/05;Fogo em áreas de desmatamento recente;15;RIO GRANDE DO SUL
2025/05;Fogo em áreas de desmatamento consolidado;71;RIO GRANDE DO SUL
2025/04;Fogo em áreas de vegetação nativa;2;RIO GRANDE DO SUL
2025/04;Fogo em áreas de desmatamento recente;19;RIO GRANDE DO SUL
2025/04;Fogo em áreas de desmatamento consolidado;91;RIO GRANDE DO SUL
2025/03;Fogo em áreas de vegetação nativa;13;RIO GRANDE DO SUL
2025/03;Fogo em áreas de desmatamento recente;7;RIO GRANDE DO SUL
2025/03;Fogo em áreas de desmatamento consolidado;38;RIO GRANDE DO SUL
2025/02;Fogo em áreas de vegetação nativa;17;RIO GRANDE DO SUL
2025/02;Fogo em áreas de desmatamento recente;3;RIO GRANDE DO SUL
2025/02;Fogo em áreas de desmatamento consolidado;29;RIO GRANDE DO SUL
2025/01;Fogo em áreas de vegetação nativa;11;RIO GRANDE DO SUL
2025/01;Fogo em áreas de desmatamento recente;11;RIO GRANDE DO SUL
