date;class;focuses;uf
2025/01;Fogo em áreas de desmatamento consolidado;2;MATO GROSSO DO SUL
2025/01;Fogo em áreas de desmatamento recente;2;MATO GROSSO DO SUL
2025/01;Fogo em áreas de vegetação nativa;14;MATO GROSSO DO SUL
2025/02;Fogo em áreas de desmatamento consolidado;2;MATO GROSSO DO SUL
2025/02;Fogo em áreas de desmatamento recente;3;MATO GROSSO DO SUL
2025/02;Fogo em áreas de vegetação nativa;4;MATO GROSSO DO SUL
2025/03;Fogo em áreas de desmatamento recente;3;MATO GROSSO DO SUL
2025/04;Fogo em áreas de desmatamento consolidado;2;MATO GROSSO DO SUL
2025/04;Fogo em outras áreas;1;MATO GROSSO DO SUL
2025/04;Fogo em áreas de vegetação nativa;3;MATO GROSSO DO SUL
2025/05;Fogo em áreas de desmatamento consolidado;1;MATO GROSSO DO SUL
2025/05;Fogo em áreas de desmatamento recente;5;MATO GROSSO DO SUL
2025/06;Fogo em áreas de desmatamento consolidado;4;MATO GROSSO DO SUL
2025/06;Fogo em áreas de desmatamento recente;5;MATO GROSSO DO SUL
2024/06;Fogo em áreas de desmatamento consolidado;107;MATO GROSSO DO SUL
2024/06;Fogo em áreas de desmatamento recente;31;MATO GROSSO DO SUL
2024/06;Fogo em outras áreas;93;MATO GROSSO DO SUL
2024/06;Fogo em áreas de vegetação nativa;2167;MATO GROSSO DO SUL
2024/07;Fogo em áreas de desmatamento consolidado;70;MATO GROSSO DO SUL
2024/07;Fogo em áreas de desmatamento recente;54;MATO GROSSO DO SUL
2024/07;Fogo em outras áreas;27;MATO GROSSO DO SUL
2024/07;Fogo em áreas de vegetação nativa;987;MATO GROSSO DO SUL
2024/08;Fogo em áreas de desmatamento consolidado;432;MATO GROSSO DO SUL
2024/08;Fogo em áreas de desmatamento recente;92;MATO GROSSO DO SUL
2024/08;Fogo em outras áreas;89;MATO GROSSO DO SUL
2024/08;Fogo em áreas de vegetação nativa;2588;MATO GROSSO DO SUL
2024/09;Fogo em áreas de desmatamento consolidado;158;MATO GROSSO DO SUL
2024/09;Fogo em áreas de desmatamento recente;33;MATO GROSSO DO SUL
2024/09;Fogo em outras áreas;16;MATO GROSSO DO SUL
2024/09;Fogo em áreas de vegetação nativa;571;MATO GROSSO DO SUL
2024/10;Fogo em áreas de desmatamento consolidado;25;MATO GROSSO DO SUL
2024/10;Fogo em áreas de desmatamento recente;14;MATO GROSSO DO SUL
2024/10;Fogo em outras áreas;10;MATO GROSSO DO SUL
2024/10;Fogo em áreas de vegetação nativa;663;MATO GROSSO DO SUL
2024/11;Fogo em áreas de desmatamento consolidado;4;MATO GROSSO DO SUL
2024/11;Fogo em áreas de desmatamento recente;11;MATO GROSSO DO SUL
2024/11;Fogo em outras áreas;2;MATO GROSSO DO SUL
2024/11;Fogo em áreas de vegetação nativa;11;MATO GROSSO DO SUL
2024/12;Fogo em áreas de desmatamento consolidado;1;MATO GROSSO DO SUL
2024/12;Fogo em áreas de desmatamento recente;1;MATO GROSSO DO SUL
2024/12;Fogo em áreas de vegetação nativa;7;MATO GROSSO DO SUL
2025/01;Fogo em áreas de desmatamento consolidado;1;MATO GROSSO
2024/12;Fogo em áreas de vegetação nativa;4;MATO GROSSO
2024/12;Fogo em áreas de desmatamento consolidado;2;MATO GROSSO
2024/11;Fogo em áreas de vegetação nativa;131;MATO GROSSO
2024/11;Fogo em outras áreas;24;MATO GROSSO
2024/11;Fogo em áreas de desmatamento recente;1;MATO GROSSO
2024/11;Fogo em áreas de desmatamento consolidado;5;MATO GROSSO
2024/10;Fogo em áreas de vegetação nativa;1355;MATO GROSSO
2024/10;Fogo em outras áreas;47;MATO GROSSO
2024/10;Fogo em áreas de desmatamento recente;39;MATO GROSSO
2024/10;Fogo em áreas de desmatamento consolidado;273;MATO GROSSO
2024/09;Fogo em áreas de vegetação nativa;1228;MATO GROSSO
2024/09;Fogo em outras áreas;31;MATO GROSSO
2024/09;Fogo em áreas de desmatamento recente;46;MATO GROSSO
2024/09;Fogo em áreas de desmatamento consolidado;459;MATO GROSSO
2024/08;Fogo em áreas de vegetação nativa;1097;MATO GROSSO
2024/08;Fogo em outras áreas;41;MATO GROSSO
2024/08;Fogo em áreas de desmatamento recente;44;MATO GROSSO
2024/08;Fogo em áreas de desmatamento consolidado;336;MATO GROSSO
2024/07;Fogo em áreas de vegetação nativa;118;MATO GROSSO
2024/07;Fogo em outras áreas;3;MATO GROSSO
2024/07;Fogo em áreas de desmatamento consolidado;4;MATO GROSSO
2024/06;Fogo em áreas de vegetação nativa;338;MATO GROSSO
2024/06;Fogo em outras áreas;8;MATO GROSSO
2024/06;Fogo em áreas de desmatamento recente;20;MATO GROSSO
2024/06;Fogo em áreas de desmatamento consolidado;2;MATO GROSSO
2025/06;Fogo em áreas de vegetação nativa;1;MATO GROSSO
2025/05;Fogo em áreas de vegetação nativa;1;MATO GROSSO
2025/05;Fogo em áreas de desmatamento consolidado;1;MATO GROSSO
2025/04;Fogo em áreas de vegetação nativa;1;MATO GROSSO
2025/03;Fogo em áreas de desmatamento consolidado;4;MATO GROSSO
2025/02;Fogo em áreas de desmatamento consolidado;2;MATO GROSSO
2025/01;Fogo em áreas de vegetação nativa;4;MATO GROSSO
2025/01;Fogo em áreas de desmatamento recente;1;MATO GROSSO
